City,Country,Population,Climate Type,Sunshine Hours/Year,List Appearances,Ocean Access,Mountain Access,Key Rankings,Notes
Valencia,Spain,800000,Mediterranean,2696,5+,Yes,Nearby,"Monocle, Numbeo, InterNations, Condé Nast",300+ sunny days
San Diego,California USA,1400000,Mediterranean,3055,5+,Yes,Yes,"#1 US Weather, Condé Nast, InterNations",Consistently rated best weather
Lisbon,Portugal,505000,Mediterranean,2799,5+,Yes,No,"Monocle #14, Numbeo, InterNations, Condé Nast",Cultural capital with sunshine
Málaga,Spain,578000,Mediterranean,3000+,4,Yes,Nearby,InterNations #1 Expat 2024,Costa del Sol beaches
Adelaide,Australia,350000,Mediterranean,2800+,5,Yes,Nearby,"EIU Top 15, Numbeo, InterNations",Clean air capital
Cape Town,South Africa,433000,Mediterranean,3100+,4,Yes,Yes,"Condé Nast, Table Mountain","Outdoor paradise, low humidity"
Santa Barbara,California USA,88000,Mediterranean,3000+,3,Yes,Yes,"American Riviera, Condé Nast",Perfect year-round weather
Perth,Australia,2100000,Mediterranean,3200+,4,Yes,Nearby,EIU Top 15,Australia's sunniest city
Porto,Portugal,238000,Mediterranean Oceanic,2400+,3,Yes,No,"Monocle #22, Condé Nast",Cooler than Lisbon
Alicante,Spain,337000,Mediterranean,2864,3,Yes,Nearby,InterNations #2 Expat,Low cost with great weather
Wellington,New Zealand,215000,Oceanic,2065,4,Yes,Yes,"Monocle Top 20, EIU Top 15","Windy, clean air"
Auckland,New Zealand,1500000,Subtropical Oceanic,2060,3,Yes,Nearby,"EIU #11, Monocle Top 10",Harbor city
Nelson,New Zealand,51000,Oceanic,2400+,2,Yes,Nearby,NZ Sunshine Capital,Best climate in NZ
Christchurch,New Zealand,380000,Oceanic,2100+,2,Yes,Yes,Clean air rankings,Mountain and ocean access
Nice,France,340000,Mediterranean,2724,2,Yes,Yes,Côte d'Azur,Alps nearby
Montpellier,France,285000,Mediterranean,2668,2,Near,No,University town,French Mediterranean charm
Palma de Mallorca,Spain,416000,Mediterranean,2800+,2,Yes,No,Balearic Islands,Island Mediterranean perfection
San Sebastian,Spain,186000,Oceanic Mediterranean,1900+,2,Yes,Yes,Condé Nast,Basque coast cuisine
Cuenca,Ecuador,603000,Eternal Spring,2400+,2,No,Yes,Andean eternal spring,58-70F year-round
Arequipa,Peru,1000000,Eternal Spring Desert,3600+,2,No,Yes,White City,High altitude sunshine
Santa Cruz,California USA,65000,Mediterranean,3000+,2,Yes,Nearby,Beach + redwoods,Central coast charm
Ventura,California USA,109000,Mediterranean,2900+,2,Yes,Nearby,Channel Islands access,Perfect California weather
Carlsbad,California USA,115000,Mediterranean,3000+,2,Yes,Nearby,San Diego suburb,Beaches and flowers
San Luis Obispo,California USA,47000,Mediterranean,3100+,2,Yes,Nearby,Central Coast,College town charm
Hobart,Tasmania Australia,240000,Oceanic Cool,1700+,2,Yes,Yes,Clean air,Cool but clean
Tauranga,New Zealand,155000,Oceanic,2200+,1,Yes,Nearby,Bay of Plenty,Beach lifestyle
Napier,New Zealand,67000,Mediterranean,2350+,1,Yes,Nearby,Art Deco city,Wine region
Girona,Spain,102000,Mediterranean,2500+,1,Near,Nearby,Catalonia,Near Barcelona
Tarragona,Spain,135000,Mediterranean,2700+,1,Yes,No,Roman ruins,Costa Dorada
Aix-en-Provence,France,145000,Mediterranean,2800+,1,No,Nearby,Provence perfection,Culture and sunshine
Perpignan,France,121000,Mediterranean,2700+,1,Near,Yes,Warmest France,Catalan culture
Antibes,France,76000,Mediterranean,2750+,1,Yes,Nearby,Côte d'Azur,Between Nice and Cannes
Cannes,France,74000,Mediterranean,2750+,1,Yes,Nearby,Film festival city,Mediterranean glamour
Stellenbosch,South Africa,155000,Mediterranean,2900+,1,No,Yes,Wine country,Cape climate
Geelong,Australia,282000,Mediterranean,1800+,1,Yes,No,Melbourne suburb,Bay access
Newcastle,Australia,322000,Subtropical,2500+,1,Yes,Nearby,NSW coast,Beach lifestyle
Wollongong,Australia,302000,Oceanic,2400+,1,Yes,Yes,Sydney south,Beaches and escarpment
Loja,Ecuador,214000,Eternal Spring,2200+,1,No,Yes,Valley of Longevity,Mild year-round
Cochabamba,Bolivia,630000,Eternal Spring,2600+,1,No,Yes,Andean eternal spring,Affordable
Mendoza,Argentina,115000,Desert Continental,3000+,1,No,Yes,Wine country,Andes views
Salta,Argentina,618000,Subtropical Highland,2500+,1,No,Yes,Colonial beauty,Mountain climate
Viña del Mar,Chile,335000,Mediterranean,2900+,1,Yes,Nearby,Garden City,Chilean Riviera
Valparaiso,Chile,295000,Mediterranean,2800+,1,Yes,Yes,UNESCO heritage,Artistic port city
Dali,China,615000,Subtropical Highland,2400+,1,Yes (Lake),Yes,Yunnan eternal spring,Erhai Lake
Da Lat,Vietnam,406000,Subtropical Highland,2200+,1,No,Yes,French colonial resort,Cool mountain city
Baguio,Philippines,366000,Tropical Monsoon,1600+,1,No,Yes,Summer capital,Cool mountain air
Pokhara,Nepal,518000,Subtropical Highland,2400+,1,Yes (Lake),Yes,Himalayan views,Adventure base
Faro,Portugal,118000,Mediterranean,3000+,1,Yes,No,Algarve capital,Very sunny
Cadiz,Spain,116000,Mediterranean,3100+,1,Yes,No,Andalusian coast,Ancient city
Murcia,Spain,460000,Semi-arid Mediterranean,2800+,1,Near,Nearby,Inland Spain,Very sunny and warm
